family,slice,n,mean_duration,sum_ae_model,sum_ae_fallback,mae_model,mae_fallback
period,weekday_am_peak,421242,19.493056762304487,2025523.6353425712,2316588.2416666667,4.8084560308387365,5.499423708145595
period,weekday_evening,650523,16.268849705032206,2169432.504567133,2270491.625,3.3349051525728264,3.4902557250089545
period,weekday_midday,850769,21.358916070833175,4576549.433758964,5002110.308333334,5.3793091118258465,5.879516423768771
period,weekday_overnight,145779,15.712440863681783,436606.7714915665,465148.26666666666,2.994990852534086,3.1907769065960574
period,weekday_pm_peak,761053,19.414321670107075,3376180.3921411545,3768441.3833333333,4.436196154723987,4.9516149116202595
period,weekend_or_holiday_am_peak,94386,14.882419179398074,316070.94327252184,462834.31666666665,3.348705774929776,4.903633130619654
period,weekend_or_holiday_evening,247214,17.76771980281591,925167.7999834842,1042921.3833333333,3.742376240760977,4.21869871177738
period,weekend_or_holiday_midday,365798,17.95942933896121,1601247.3101727066,1735741.7083333333,4.377408597566708,4.745082554670428
period,weekend_or_holiday_overnight,226005,14.526983695050996,621720.7317693324,688109.5833333334,2.7509158282751818,3.0446653097645333
period,weekend_or_holiday_pm_peak,286879,19.309787924525672,1272909.4532892152,1291438.5166666666,4.437095267653663,4.501683694751678
airport,from_EWR,32,16.537499999999998,106.03367559873261,175.83333333333331,3.313552362460394,5.494791666666666
airport,from_JFK,160133,45.66370850064218,1113216.580578719,1365716.8166666667,6.951824924148795,8.528640671608391
airport,from_LGA,102628,33.7184485065804,684145.0522809929,777860.275,6.666261179025148,7.57941570526562
airport,to_EWR,6881,40.807513442813544,45245.08097552522,54875.775,6.575364187694408,7.974970934457201
airport,to_JFK,27254,53.29114074998166,213051.2566560547,297501.5916666667,7.817247253836307,10.9158872703701
airport,to_LGA,34488,31.805707782417073,196229.27839926022,237232.01666666666,5.689784226376137,6.878682923528957
borough_pair,Bronx->Bronx,11181,18.110110902423752,56666.17746129818,59090.88333333333,5.068077762391394,5.284937244730644
borough_pair,Bronx->Brooklyn,2378,72.13110456966639,46264.55870672819,51005.375,19.455239153376027,21.44885407905803
borough_pair,Bronx->Manhattan,13523,38.96995489166605,153314.21310942026,167521.20833333334,11.337292990417826,12.387873129729597
borough_pair,Bronx->Queens,2452,45.19558183795541,30369.76363997868,37105.025,12.385711109289836,15.132555057096248
borough_pair,Bronx->Staten Island,2,71.26666666666667,26.53856863772392,115.9,13.26928431886196,57.95
borough_pair,Brooklyn->Bronx,3520,58.391638257575764,48948.415443477454,61785.425,13.905799841897004,17.552677556818182
borough_pair,Brooklyn->Brooklyn,80809,23.16468607044595,488756.814158817,500987.23333333334,6.048296775839535,6.199646491521159
borough_pair,Brooklyn->EWR,63,45.274338624338625,516.8121703446931,624.7583333333333,8.203367783249096,9.916798941798941
borough_pair,Brooklyn->Manhattan,56193,33.38953191085485,396726.62462528626,442374.1583333333,7.0600719773866185,7.8724068537599585
borough_pair,Brooklyn->Queens,19433,34.54732842758881,140889.29511483072,162496.08333333334,7.250002321557696,8.361862982212388
borough_pair,Brooklyn->Staten Island,176,29.70814393939394,1262.9454776022187,1792.5583333333334,7.175826577285334,10.18499053030303
borough_pair,EWR->Brooklyn,2,36.33333333333333,2.432317334494112,46.03333333333333,1.216158667247056,23.016666666666666
borough_pair,EWR->EWR,22,2.848484848484848,30.295511775483224,33.325,1.3770687170674192,1.5147727272727274
borough_pair,EWR->Manhattan,6,48.83611111111111,53.18083022554147,76.875,8.863471704256911,12.8125
borough_pair,EWR->Queens,1,80.35,18.33938797306832,12.416666666666657,18.33938797306832,12.416666666666657
borough_pair,EWR->Staten Island,1,20.5,1.7856282901454996,7.183333333333334,1.7856282901454996,7.183333333333334
borough_pair,Manhattan->Bronx,27986,32.883335119940924,205989.12952755758,246060.41666666666,7.360434843405902,8.792268157888468
borough_pair,Manhattan->Brooklyn,106600,31.214251563477173,637772.0575522165,693279.4166666666,5.9828523222534375,6.503559255784865
borough_pair,Manhattan->EWR,6786,40.65286865114451,44360.755563542094,53736.691666666666,6.537099257816401,7.918757982120051
borough_pair,Manhattan->Manhattan,3241760,14.605019439029006,11870201.724953074,12770334.433333334,3.6616534613768676,3.9393213665827616
borough_pair,Manhattan->Queens,108109,37.025037693439025,711769.8955855158,883426.4583333334,6.583817217673975,8.171627323657914
borough_pair,Manhattan->Staten Island,500,43.76703333333333,3945.022124417123,4716.533333333333,7.890044248834246,9.433066666666665
borough_pair,Queens->Bronx,8428,39.809138190159786,63879.704508408715,79820.125,7.579461854343701,9.470826411960132
borough_pair,Queens->Brooklyn,61905,39.6427073742024,422675.16659194534,489256.3416666667,6.82780335339545,7.903341275610479
borough_pair,Queens->EWR,233,69.21838340486408,2820.794909936264,3447.8,12.106415922473236,14.797424892703864
borough_pair,Queens->Manhattan,199044,44.53030410361528,1526990.3638481966,1827879.15,7.671622173229018,9.18329188521131
borough_pair,Queens->Queens,97690,20.205752550585185,458861.8462492899,496344.4166666667,4.697121980236359,5.0808108984201725
borough_pair,Queens->Staten Island,449,58.43789903489235,4565.754967178441,5955.316666666667,10.168719303292741,13.26351150705271
borough_pair,Staten Island->Bronx,3,123.63333333333333,202.46072560021153,330.95000000000005,67.48690853340385,110.31666666666668
borough_pair,Staten Island->Brooklyn,212,26.770361635220127,1690.9578247551553,2058.45,7.976216154505449,9.709669811320754
borough_pair,Staten Island->EWR,2,19.625,10.87078009287363,5.899999999999999,5.435390046436815,2.9499999999999993
borough_pair,Staten Island->Manhattan,84,47.835317460317455,1127.7443895545823,1317.15,13.42552844707836,15.680357142857144
borough_pair,Staten Island->Queens,20,55.254999999999995,325.6737031910586,347.65,16.28368515955293,17.3825
borough_pair,Staten Island->Staten Island,75,12.490444444444444,370.8598321560099,433.69166666666666,4.944797762080132,5.782555555555556
route,132->230,7216,64.21882390983001,68372.48462322137,88273.98333333334,9.475122591909836,12.233090816703623
route,141->236,8141,8.269477541661548,22720.590303414516,23576.2,2.790884449504301,2.895983294435573
route,142->237,6782,10.858011402732725,22912.69134186272,23123.566666666666,3.3784564054648656,3.4095497886562467
route,142->239,8031,6.3240131988544395,16299.490643668432,16306.45,2.029571739966185,2.030438301581372
route,161->234,7042,12.59004780838777,24837.40201827476,26128.016666666666,3.5270380599651747,3.710311937896431
route,161->236,8827,15.236429893130925,36232.61148095864,40781.2,4.104748100255879,4.620052112835618
route,161->237,10988,11.108565404683898,43080.93174645754,46712.71666666667,3.9207254956732385,4.251248331513166
route,162->236,6555,13.342379862700229,23973.745442701584,25784.25,3.6573219592222097,3.933524027459954
route,162->237,7568,9.72597559901339,28781.90066308361,30332.75,3.8031052673207726,4.00802721987315
route,186->230,7518,15.249337146404185,40348.508356799284,44170.73333333333,5.366920505027838,5.8753303183470775
route,236->141,7561,9.111175770400742,21101.470591427988,21952.25,2.790830656186746,2.903352731120222
route,236->161,8396,15.70203271399079,34583.0522557407,39502.89166666667,4.118991454947678,4.704965658249961
route,236->236,15195,5.006597564988483,29509.56297379156,29854.05,1.9420574513847686,1.9647285291214214
route,236->237,22654,8.428466643124098,62896.821573506604,65463.066666666666,2.7764112992631147,2.889691298078338
route,236->239,6914,9.658109150515862,19970.490944790283,20544.616666666665,2.8884135008374723,2.971451644007328
route,237->141,7171,6.793919955375819,17044.77085323674,17522.366666666665,2.3769029219406974,2.443503927857574
route,237->142,6752,11.478705075039494,23827.50277297715,23840.916666666668,3.528954794576,3.5309414494470777
route,237->161,10648,11.162770786376159,42531.1412213215,45276.433333333334,3.9942844873517562,4.252106811920862
route,237->162,9249,9.930898835910188,37116.39138698659,38107.6,4.013016692289608,4.120185966050384
route,237->236,26678,7.600153684684009,68050.2452011675,71122.13333333333,2.5508001049991567,2.665946972536672
route,237->237,17501,6.125700436165553,43929.81455270189,44802.78333333333,2.5101316812011825,2.560012761175552
route,237->263,6878,8.310780750218088,18797.160610866413,19483.45,2.7329398968982863,2.832720267519628
route,238->239,6903,5.3085228644550675,12032.591956392169,12054.05,1.7430960388805112,1.7462045487469215
route,239->142,7814,6.4437675966214485,16744.437925773458,16760.0,2.1428766221875426,2.144868185308421
route,239->238,7864,5.363017124448966,13713.325098104237,13782.091666666667,1.7438104143062356,1.7525548914886402
day,2025-09-01,92172,16.149823699171115,289024.7908821347,418220.375,3.1357113969766814,4.537390693486091
day,2025-09-02,113023,18.227426865918144,420877.29959100025,453268.825,3.7238199268379026,4.010412261221168
day,2025-09-03,125625,17.978287628524047,468030.75817661046,509476.0,3.7256179755352075,4.055530348258706
day,2025-09-04,144075,18.4954613916363,563568.9563274684,642054.85,3.9116359974143218,4.456393197987159
day,2025-09-05,139978,18.36844837522087,537083.5031741244,586946.4666666667,3.8369136805364015,4.193133682912077
day,2025-09-06,140803,17.73181655693889,619776.9597326844,641747.3833333333,4.401731211214849,4.5577678269165665
day,2025-09-07,121950,16.725653136531363,422053.4450215266,468883.325,3.4608728579050974,3.8448817138171383
day,2025-09-08,118297,18.429483841517534,464365.0911548128,494975.2083333333,3.9254173069039178,4.184173802660535
day,2025-09-09,134537,18.541359130449866,558139.7621865552,619459.575,4.148596759155884,4.6043807651426745
day,2025-09-10,145859,19.933736233851416,712979.0031379741,819890.175,4.88813856627273,5.6211147409484505
day,2025-09-11,148327,19.786928767745138,702467.2594196473,804762.0666666667,4.735936541692661,5.425593901762098
day,2025-09-12,153711,20.1063412291031,780008.4283603932,848829.05,5.074512743787973,5.522240112939217
day,2025-09-13,158685,17.364783270840555,616813.4246244063,688108.1583333333,3.8870304352926004,4.336315079140015
day,2025-09-14,138050,16.843348545213086,475660.53676797426,533009.0583333333,3.4455670899527293,3.860985572860075
day,2025-09-15,123195,18.457190768023594,482575.90772829246,505786.6583333333,3.9171712141587927,4.105577810246628
day,2025-09-16,137446,18.568438392774862,559009.9514899428,619340.45,4.067124190518042,4.50606383597922
day,2025-09-17,143178,18.983314592092825,617634.6601878892,706943.3333333334,4.31375392998847,4.937513677613414
day,2025-09-18,154390,20.02102705270203,728720.8257335961,845231.0666666667,4.7200001666791636,5.474649048945311
day,2025-09-19,148687,19.3238244320844,643585.7782512218,708615.225,4.328460310929818,4.76581829615232
day,2025-09-20,150669,18.388079609386583,665792.0296902377,697990.05,4.41890521401375,4.632605579117138
day,2025-09-21,131011,18.20548401788145,569424.3207208407,572616.6666666666,4.346385576179411,4.37075258311643
day,2025-09-22,113394,19.70571429411315,581480.442863535,604645.1083333333,5.127964820568416,5.332249575227378
day,2025-09-23,110787,18.71052470055151,588309.2336772908,608322.2166666667,5.3102731699323105,5.490916954757027
day,2025-09-24,129059,18.364039057072088,592331.6617662042,609571.275,4.5896191801130035,4.7231984983612145
day,2025-09-25,145897,20.768687498714847,800911.0867972585,905224.7916666666,5.48956515073825,6.204546986344247
day,2025-09-26,147750,19.612879413423574,688443.3807747224,748155.125,4.659515267510812,5.063655668358714
day,2025-09-27,156024,17.680078599018955,646619.1178211019,702996.3333333334,4.144356751660654,4.505693568510828
day,2025-09-28,130918,16.57171970240914,431951.6132263537,497474.1583333333,3.2994058359152576,3.7998912168940353
day,2025-09-29,118171,19.393372457427514,548470.8906860213,575322.2583333333,4.641332397001136,4.868557076891397
day,2025-09-30,133980,18.39389336716923,545298.8558168283,605960.1,4.070001909365788,4.522765338110165
